source,author,title,description,url,publishedAt,content
The Verge,Gaby Del Valle,"The boring, insidious world of the womanosphere","Usha Vance has a new podcast: Storytime with the Second Lady. It's exactly what it sounds like. Each episode begins with a brief introduction, after which JD Vance's wife reads a children's story. The first three episodes were released Monday, and none is lon…",https://www.theverge.com/policy/905871/usha-vance-podcast-storytime-second-lady-katie-miller,2026-04-02T14:57:35Z,"<ul><li></li><li></li><li></li></ul>
The wives of right-wing political figures keep launching podcasts. Why?
The wives of right-wing political figures keep launching podcasts. Why?
by
Gaby Del Va… [+8537 chars]"
Wired,Maxwell Zeff,Yann LeCun Raises $1 Billion to Build AI That Understands the Physical World,"Meta’s former chief AI scientist has long argued that human-level AI will come from mastering the physical world, not language. His new startup, AMI, plans to prove it.",https://www.wired.com/story/yann-lecun-raises-dollar1-billion-to-build-ai-that-understands-the-physical-world/,2026-03-10T05:00:00Z,"Advanced Machine Intelligence (AMI), a new Paris-based startup cofounded by Metas former chief AI scientist Yann LeCun, announced Monday it has raised more than $1 billion to develop AI world models.… [+4159 chars]"
Wired,Ritsuko Kawai,Japan Approves the World’s First Treatment Made With Reprogrammed Human Cells,Researchers in Japan pioneered reprogrammed cells 20 years ago. Now the country has given the first-ever authorizations to manufacture and sell medical products based on the technology.,https://www.wired.com/story/japan-approves-the-worlds-first-treatment-made-with-reprogrammed-human-cells/,2026-03-14T09:00:00Z,"Severe heart failure is a serious condition that worsens over time, and the only treatment options are a heart transplant or a heart-assisted artificial heart. However, heart transplantation is hampe… [+3796 chars]"
The Verge,Hayden Field,Why OpenAI killed Sora,"On Tuesday morning, everything was business as usual at OpenAI. By the end of the day, the company had announced that it would scrap its video-generation app, Sora, and reverse plans for video generation inside ChatGPT; it would wind down a $1 billion Disney …",https://www.theverge.com/ai-artificial-intelligence/902368/openai-sora-dead-ai-video-generation-competition,2026-03-27T21:47:06Z,"<ul><li></li><li></li><li></li></ul>
Why OpenAI killed Sora
Too much compute, too much competition, and skeptical investors.
by
Hayden FieldClose
Posts from this author will be added to your dai… [+10409 chars]"
Gizmodo.com,Justin Caffier,New Niantic Partnership Helps Food Delivery Bots ‘Pokémon Go’ Get Your Treats,Will an association with that game everyone played a little bit in 2016 help keep the bots from getting lost and beat up?,https://gizmodo.com/niantic-partnership-food-delivery-bots-use-pokemon-go-data-2000732212,2026-03-11T13:10:33Z,"If you live in a major city in the US, China, or certain European nations, youve likely seen a few food delivery robots by now. Anthropomorphized with googly eyes and names, these autonomous urban ro… [+3429 chars]"
Gizmodo.com,Ece Yildirim,Nvidia CEO Wants Tech Execs to Stop Laying Off Workers and Scaring People,"At GTC, Jensen Huang was on damage control for AI.",https://gizmodo.com/nvidia-ceo-wants-tech-execs-to-stop-laying-off-workers-and-scaring-people-2000736053,2026-03-20T20:10:56Z,"AI is having a major PR crisis, and Nvidia CEO Jensen Huang is really worried about it.
As AI technology improves and leverages the underregulated space it inhabits to creep further into modern soci… [+4041 chars]"
Wired,Alana Hope Levinson,Taylor Lorenz’s Screen Time Is Almost 17 Hours a Day,The extremely online journalist and content creator doesn’t believe in tech hygiene and yearns for a world where “inbox infinity” is celebrated.,https://www.wired.com/story/user-behavior-taylor-lorenz/,2026-04-01T10:00:00Z,"Taylor Lorenz doesnt want to touch grass. The technology and culture journalist wrote the bestselling book Extremely Online: The Untold Story of Fame, Influence, and Power on the Internet, and she ha… [+10104 chars]"
Android Central,"sanujb6@gmail.com (Sanuj Bhatia) , Sanuj Bhatia",OnePlus executive who dismissed shutdown rumors has now stepped down,"OnePlus India CEO Robin Liu has stepped down, the company has confirmed.",https://www.androidcentral.com/phones/oneplus/oneplus-india-ceo-steps-down-march-2026,2026-03-24T14:06:28Z,"What you need to know
<ul><li>OnePlus India CEO Robin Liu has stepped down, with the company citing 'personal reasons' for his departure.</li><li>The exit comes amid reports of internal struggles, d… [+2554 chars]"
BBC News,,Global News Podcast,President says Iran will stop striking Gulf states if no attacks originate from them,https://www.bbc.co.uk/sounds/play/p0n57ljj,2026-03-07T14:28:00Z,"Available for 29 days
The Iranian president, Masoud Pezeshkian, has said Iran will stop striking its neighbours as long as no attacks originate from them; he's apologised for Tehran's attacks on tho… [+1151 chars]"
Business Insider,Thibault Spirlet,"How to use AI without getting dumber, according to a serial entrepreneur","""The technology that made us fat is going to make us dumb, too,"" said DigitalMarketer CEO Ryan Deiss.",https://www.businessinsider.com/how-to-use-ai-without-becoming-dumber-entrepreneur-skills-atrophy-2026-3,2026-03-10T12:33:25Z,"DigitalMarketer CEO Ryan Deiss says workers who think first and use AI second will win in the AI era.VCG/VCG via Getty Images
<ul><li>An entrepreneur says overuse of AI will dull workers' critical-t… [+2650 chars]"
Gizmodo.com,Mike Pearl,OpenAI Reportedly Pivoting to a Focus on Business and Productivity Only,"An all-hands meeting, whose details leaked to the Wall Street Journal, made the AI juggernaut sound a bit desperate.",https://gizmodo.com/openai-reportedly-pivoting-to-a-focus-on-business-and-productivity-only-2000734341,2026-03-17T09:00:23Z,"Sam Altman and the other leaders at OpenAI have reportedly notified the companys staff at an all-hands meeting, details of which were leaked to the Wall Street Journal, that an exciting new strategy … [+1578 chars]"
Wired,"Lily Hay Newman, Matt Burgess",Signal’s Creator Is Helping Encrypt Meta AI,"Moxie Marlinspike says the technology powering his end-to-end encrypted AI chatbot, Confer, will be integrated into Meta AI. The move could help protect the AI conversations of millions of people.",https://www.wired.com/story/signals-creator-is-helping-encrypt-meta-ai/,2026-03-19T14:09:51Z,"Moxie Marlinspike, the privacy advocate who created the secure communication app Signal and its widely used open source encryption protocol, said this week that his privacy-focused AI platform, Confe… [+3498 chars]"
The Verge,Robert Hart,It’s not easy to get depression-detecting AI through the FDA,"For the past seven years, the California-based startup Kintsugi has been developing AI designed to detect signs of depression and anxiety from a person's speech. But after failing to secure FDA clearance in time, the company is shutting down and releasing mos…",https://www.theverge.com/ai-artificial-intelligence/905864/depression-detecting-ai-kintsugi-clinical-ai-startup-shut-down,2026-04-02T15:33:23Z,"<ul><li></li><li></li><li></li></ul>
Instead, a mental health startup shut down and open-sourced its tech.
Instead, a mental health startup shut down and open-sourced its tech.
by
Robert HartClos… [+7567 chars]"
The Verge,John.Higgins,The versatile Play speaker is a great way into the Sonos world,"It's been nearly a year and a half since Sonos released a consumer product, and those last two releases - the Arc Ultra and Sub 4 - were updates to existing products. The $299 Sonos Play, however, is a brand-new portable speaker that can expand an existing sy…",https://www.theverge.com/tech/901105/sonos-play-speaker-review,2026-03-26T09:42:23Z,"<ul><li></li><li></li><li></li></ul>
The Play takes the best parts of the Roam and Move speakers to make a great Wi-Fi and Bluetooth speaker.
If you buy something from a Verge link, Vox Media may e… [+9889 chars]"
The Verge,Charles Pulliam-Moore,Bespoke AI models are the next big thing in filmmaking,"Though many AI boosters have convinced themselves that the technology can spit out films and television series whole cloth, claims of Hollywood being cooked feel very premature when you see what people are making with the most popular image/video models on th…",https://www.theverge.com/streaming/893538/ai-model-netflix-interpositive-ben-affleck,2026-03-12T13:56:00Z,"<ul><li></li><li></li><li></li></ul>
Bespoke AI models are the next big thing in filmmaking
Ben Afflecks AI startup, recently purchased by Netflix for around $600 million, has a different approach … [+8200 chars]"
Business Insider,Lloyd Lee,Hyundai's Motional wants to deploy robotaxis at lower costs. Here are 5 takeaways from our chat with the CEO.,"Hyundai's robotaxi arm, Motional, paused its commercial launch in 2024 to revamp the underlying technology. Now it's back with an Uber partnership.",https://www.businessinsider.com/hyundai-motional-robotaxi-uber-partnership-ceo-laura-major-interview-2026-3,2026-03-20T04:02:01Z,"Laura Majors, CEO of Motional, a robotaxi company, told Business Insider she made the ""hard decision"" to pause commercial services two years ago.Motional
<ul><li>Hyundai's Motional paused a commerci… [+5354 chars]"
The Verge,Nilay Patel,Hasbro’s CEO has an AI Peppa Pig help design toys,"Today, I’m talking with Chris Cocks, CEO of Hasbro. You know, Hasbro — the toy and game company that makes some of the most iconic products in the world, from toy lines like Transformers and My Little Pony to board and tabletop games like Monopoly, Magic: The…",https://www.theverge.com/podcast/890703/hasbro-toys-games-magic-exodus-ai-tariffs,2026-03-09T14:02:09Z,"<ul><li></li><li></li><li></li></ul>
Chris Cocks on AI, KPop Demon Hunters, and why Harry Potter still matters.
by
Nilay PatelClose
Posts from this author will be added to your daily email digest… [+65567 chars]"
The Verge,Victoria Song,Lina Khan was right,"In 2021, the virtual world was the future of the internet. The pandemic had sequestered everyone indoors, heightening the appeal of digital communities. Facebook rebranded to Meta - a sign of the tech giant's investment in and commitment to the metaverse as t…",https://www.theverge.com/report/896820/lina-khan-ftc-meta-supernatural-antitrust,2026-03-19T15:19:33Z,"<ul><li></li><li></li><li></li></ul>
Lina Khan was right
Khans FTC tried to expand the scope of antitrust law. Metas floundering VR ambitions shows why that mattered. 
by
Victoria SongClose
Seni… [+10331 chars]"
The Verge,Andrew J. Hawkins,Uber aims to launch Europe’s first robotaxi service with Pony AI and Verne,"Uber is joining forces with two companies, China's Pony AI and Croatia's Verne, to launch what it claims will be Europe's first commercially available robotaxi service. The vehicles are already being tested in Zagreb, Croatia, where Verne is headquartered, an…",https://www.theverge.com/transportation/900656/uber-pony-ai-verne-robotaxi-europe,2026-03-25T19:03:04Z,"<ul><li></li><li></li><li></li></ul>
The companies are already testing autonomous vehicles in Croatia, where they will launch their first commercial service.
The companies are already testing auton… [+3514 chars]"
The Verge,Jay Peters,AI was everywhere at gaming’s big developer conference — except the games,"AI was everywhere at the GDC Festival of Gaming this year. Vendors at the event pitched generative AI tools for things like making AI-driven NPCs and even entire games from a chat box. On the show floor, I spent 10 minutes playing a demo of a pixel-art fantas…",https://www.theverge.com/games/897982/gdc-2026-ai-game-developer-conference,2026-03-21T02:25:11Z,"<ul><li></li><li></li><li></li></ul>
AI was everywhere at gamings big developer conference except the games
Of the many developers I spoke to at GDC, nearly every one disavowed using AI in their pr… [+8041 chars]"
The Verge,Emma Roth,Online age checks came first — a VPN crackdown could be next,"This is The Stepback, a weekly newsletter breaking down one essential story from the tech world. For more news about online age verification and your privacy, follow Emma Roth. The Stepback arrives in our subscribers' inboxes at 8AM ET. Opt in for The Stepbac…",https://www.theverge.com/column/898122/online-age-verification-vpns,2026-03-20T17:33:48Z,"<ul><li></li><li></li><li></li></ul>
Online age checks came first a VPN crackdown could be next
Lawmakers dont want VPNs to stand in the way of online age verification.
by
Emma RothClose
Posts f… [+7662 chars]"
BBC News,Russell Fuller,Video reviews to be introduced at Wimbledon,Video review technology will be introduced at Wimbledon for the first time this year.,https://www.bbc.com/sport/tennis/articles/cn4395lp2qko,2026-03-21T09:03:51Z,"A review will also be allowed at the end of a point if a player feels his opponent may be guilty of hindrance.
Daniil Medvedev used the review system against Jack Draper in Indian Wells last week, a… [+1272 chars]"
CNET,Steven Musil,"Newsom Signs Executive Order Requiring AI Companies to Provide Safety, Privacy Guardrails",California's governor says order aims to prevent misuse of AI technology.,https://www.cnet.com/tech/newsom-signs-executive-order-requiring-ai-companies-to-provide-safety-privacy-guardrails/,2026-03-31T02:22:25Z,"California Gov. Gavin Newsom on Monday signed an executive order requiring AI companies that do business with the state to institute safety and privacy guidelines.
The order (PDF) is designed to ens… [+1592 chars]"
Business Insider,Noah Sheidlower,How have you used tech to support your or your parents' aging and caregiving journeys? We want to hear from you.,Business Insider is looking to hear from older Americans using advanced tech to age better and children helping their parents age better with tech.,https://www.businessinsider.com/caregiving-aging-ai-chatbots-age-tech-vibe-coding-robotics-2026-4,2026-04-02T08:49:01Z,"Older Americans are increasingly using AI and advanced tech.Maskot/Getty Images
<ul><li>Older Americans are using AI and tech for aging, while their children are helping with tech adoption.</li><li>… [+2140 chars]"
Gizmodo.com,Justin Carter,‘Kamen Rider’ Is Ready to Take on the World,"New movies, new shows, *and* weekly drops for two legacy series? 'Kamen Rider' fans have a lot to look forward to for its big birthday.",https://gizmodo.com/kamen-rider-is-ready-to-take-on-the-world-2000742411,2026-04-05T19:15:18Z,"For the 55th birthday of Kamen Rider, Toei and Ishimori Productions are expanding the franchise’s past and future in big ways.
During a Friday event celebrating the tokusatsu series, the two compani… [+1588 chars]"
BBC News,Bobbie Jackson,Britain's Cameron becomes two-weight world champion,Britain's Chantelle Cameron put on a dominant performance to beat Michaela Kotaskova and claim the vacant WBO light-middleweight world title at the Olympia in London.,https://www.bbc.com/sport/boxing/articles/c3w35q6pzg3o,2026-04-05T20:03:03Z,"Britain's Chantelle Cameron put on a dominant performance to beat Michaela Kotaskova by unanimous decision and claim the vacant WBO light-middleweight world title at the Olympia in London. 
Fighting… [+1246 chars]"
NPR,Ryan Lucas,Khamenei's killing renews questions about US assassinating foreign leaders,"Technology allowed the U.S. and Israel to kill Iran's Supreme Leader, but raised longstanding questions about whether the U.S. as a democracy should be assassinating foreign leaders.",https://www.npr.org/2026/03/17/g-s1-114070/assassination-iran-supreme-leader-questions-democracies,2026-03-17T19:22:49Z,"Stay up to date with our Politics newsletter, sent weekly.
The opening strike of the U.S.-Israeli war on Iran was a highly sophisticated operation that dealt a major blow to the Islamic Republic, ki… [+7745 chars]"
Hackaday,Maya Posch,Reverse-Engineering a Handheld Car Tire Pressure Gauge,"In this wonderful world of MEMS technology, sensor technology has been downsized and reduced in cost to the point where you can buy a car tire pressure sensor for less than $3 USD on a site like Al…",https://hackaday.com/2026/04/03/reverse-engineering-a-handheld-car-tire-pressure-gauge/,2026-04-04T02:00:41Z,"The SDIC 8-bit MCU. (Credit: electronupdate, YouTube)
In this wonderful world of MEMS technology, sensor technology has been downsized and reduced in cost to the point where you can buy a car tire p… [+1245 chars]"
The Verge,Stevie Bonifield,Mark Zuckerberg and Jensen Huang are part of Trump’s new ‘tech panel’,"Meta CEO Mark Zuckerberg, Oracle CEO Larry Ellison, Nvidia CEO Jensen Huang, and Google co-founder Sergey Brin will be the first four members of the President's Council of Advisors on Science and Technology (PCAST), according to the Wall Street Journal. The p…",https://www.theverge.com/policy/900340/trump-tech-panel-mark-zuckerberg-jensen-huang,2026-03-25T14:41:21Z,"<ul><li></li><li></li><li></li></ul>
The council will advise Trump on AI, the economy, education, and national and homeland security.
The council will advise Trump on AI, the economy, education, an… [+2872 chars]"
The Verge,Tina Nguyen,Can you monitor a situation without monitors? The Polymarket sports bar tried,"Hello and welcome to Regulator, a newsletter for Verge readers who are political junkies, and Washington insiders hooked on technology. If this email has been forwarded to you but you're not a subscriber, sign up here so you can get that pure, uncut Regulator…",https://www.theverge.com/column/900536/alliance-for-a-better-future-polymarket,2026-03-25T18:19:33Z,"<ul><li></li><li></li><li></li></ul>
Plus, a Project 2025 splinter group declares war on AI and a16z.
Plus, a Project 2025 splinter group declares war on AI and a16z.
by
Tina NguyenClose
Senior … [+9890 chars]"
The Verge,John.Higgins,The Hisense U7SG is a great midrange TV you shouldn’t buy yet,"With all of the focus on RGB LED technology, it seemed like more affordable mini-LED TVs had been shooed to the side. But with the Hisense U7SG, we're getting our first great midrange general-use TV of 2026. It gets bright, comes in a wide range of sizes, sup…",https://www.theverge.com/tech/899160/hisense-u7sg-tv-review,2026-03-23T23:10:30Z,"<ul><li></li><li></li><li></li></ul>
The U7SG has improved reflection and blooming control, but it will be cheaper in a few months.
If you buy something from a Verge link, Vox Media may earn a comm… [+9072 chars]"
Business Insider,"Lauren Edmonds,Lakshmi Varanasi",The fallout over OpenAI's Pentagon deal is growing,"Since OpenAI agreed to share its technology with the Pentagon last week, the company has faced a torrent of bad news.",https://www.businessinsider.com/openai-pentagon-deal-fallout-backlash-anthropic-altman-amodei-trump-2026-3,2026-03-08T05:01:01Z,"OpenAI CEO Sam Altman announced a deal with the Pentagon in February.Florian Gaertner/Photothek via Getty Images
<ul><li>OpenAI agreed to a deal with the Pentagon in February.</li><li>Staffers have … [+6316 chars]"
Business Insider,Dan DeFrancesco,Our March Madness bracket is all business,"Business Insider kicks off its March Madness bracket, featuring eight top business trends, including SaaS, private credit, and robotics.",https://www.businessinsider.com/march-madness-bracket-business-trends-saas-private-credit-voting-2026-3,2026-03-16T09:35:09Z,"Getty Images; Tyler Le/BI
<ul><li>This post originally appeared in the Business Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>This. Is. Mar… [+2104 chars]"
Wired,Steven Levy,A Quantum Leap for the Turing Award,Charles Bennett and Gilles Brassard pioneered quantum information theory. Now they’ve been awarded the highest honor in computer science.,https://www.wired.com/story/a-quantum-leap-for-the-turing-award/,2026-03-18T09:00:00Z,"Today its widely acknowledged that the future of computing will involve the quantum realm. Companies like Google, Microsoft, IBM, and a few well-funded startups are frantically building quantum compu… [+3794 chars]"
Wired,Julian Chokkattu,6G Is Coming. Here’s What to Expect From the Next Generation of Cellular Tech,"When it succeeds 5G in 2030, the next-gen mobile network will focus on upload speeds, AI, and radar-like “sensing” of vehicles, devices, and people.",https://www.wired.com/story/6g-is-coming/,2026-03-13T10:30:00Z,"5G came with many promises. Remote surgery, where surgeons operate thousands of miles away from patients; driverless cars talking to each other and autonomously navigating highways; new killer apps t… [+4181 chars]"
NPR,Marielle Segarra,5 ways to resist the urge to keep looking at your phone,"So you want to spend less time on your phone. How do you do that when it's designed to suck you in? Life Kit spoke to experts in behavioral science, psychology and technology for real-world advice.",https://www.npr.org/2026/03/12/nx-s1-5743973/5-ways-resist-urge-keep-looking-at-your-phone,2026-03-12T09:00:00Z,"So you want to reclaim your time and attention by spending less time on your phone. How do you do that when your phone is designed to suck you in and keep you scrolling?
Life Kit spoke to experts in… [+4232 chars]"
Gizmodo.com,Isaiah Colbert,Sony Wants to Defeat Ghibli AI Slop… By Feeding Ghibli Movies Into Its Own Slop Machine,"Sony hopes its new technology, Protective AI, will protect creators and rights holders from copyright infringement by making their own in-house AI slop machine that does the same thing.",https://gizmodo.com/sony-protective-ai-studio-ghibli-2000735011,2026-03-18T15:00:14Z,"The old adage, “if you can’t beat ’em, join ’em,” is being implemented by Sony in the war on AI on the side of human artists, with the company reportedly using an AI model trained on Studio Ghibli an… [+2420 chars]"
Business Insider,Hugh Langley,Google told staff worried about Pentagon AI deals that the company is 'leaning more' into national security contracts,"Google DeepMind CEO Demis Hassabis told staff it's ""incumbent on us to work with democratically elected governments.""",https://www.businessinsider.com/google-department-defense-military-contract-ai-deepmind-national-security-deals-2026-3,2026-03-19T17:56:51Z,"Google DeepMind CEO Demis HassabisCAMILLE COHEN/AFP via Getty Images
<ul><li>In an internal all-hands, Google DeepMind leaders addressed staff concerns about Pentagon work.</li><li>Leaders said ther… [+4950 chars]"
Gizmodo.com,Matt Novak,"Higher Oil Prices From Trump’s Iran War Risk Killing the AI Boom, WTO Says",President Deals seems to be setting the global economy on fire.,https://gizmodo.com/higher-oil-prices-from-trumps-iran-war-risk-killing-the-ai-boom-wto-says-2000735678,2026-03-19T19:30:17Z,"President Donald Trump’s war on Iran poses a risk to trade around the world and could result in slower GDP growth as well as higher fertilizer costs, according to a new report from the World Trade Or… [+4278 chars]"
Hackaday,Bryan Cockfield,Training a Transformer with 1970s-era Technology,"Although generative language models have found little widespread, profitable adoption outside of putting artists out of work and giving tech companies an easy scapegoat for cutting staff, their their underlying …read more",https://hackaday.com/2026/03/29/training-a-transformer-with-1970s-era-technology/,2026-03-30T02:00:41Z,"Although generative language models have found little widespread, profitable adoption outside of putting artists out of work and giving tech companies an easy scapegoat for cutting staff, their their… [+1552 chars]"
CNET,David Lumb,How War in the Middle East Impacted the World's Largest Mobile Phone Show,"Hundreds of companies planned to gather in Barcelona to talk business, but as the conflict disrupted travel, not all of them arrived.",https://www.cnet.com/tech/mobile/how-war-in-the-middle-east-impacted-the-worlds-largest-mobile-phone-show/,2026-03-08T15:01:09Z,"On a Tuesday in the middle of Mobile World Congress 2026, three industry experts gathered for a panel to chat about smart glasses and extended reality tech. But a fourth member of the panel, who was … [+9727 chars]"
BBC News,BBC Sport,GB's Brown becomes world champion for second time,Britain's Sky Brown becomes a skateboarding world champion for the second time after winning gold in a rain-disrupted park event in Brazil.,https://www.bbc.com/sport/skateboarding/articles/cq571lpg555o,2026-03-09T10:11:08Z,"Britain's Sky Brown has become a skateboarding world champion for the second time after winning gold in a rain-disrupted park event in Sao Paolo, Brazil.
The 17-year-old was leading the standings wi… [+855 chars]"
The Verge,Hayden Field,Judge sides with Anthropic to temporarily block the Pentagon’s ban,"After Anthropic's weeks-long standoff with the Pentagon, the company won one milestone: A judge granted Anthropic a preliminary injunction in its lawsuit, which sought to reverse its government blacklisting while the judicial process plays out. ""The Departmen…",https://www.theverge.com/ai-artificial-intelligence/902149/anthropic-dod-pentagon-lawsuit-supply-chain-risk-injunction,2026-03-27T00:33:44Z,"<ul><li></li><li></li><li></li></ul>
Judge sides with Anthropic to temporarily block the Pentagons ban
Judge Lin wrote that punishing Anthropic is classic illegal First Amendment retaliation.
by
… [+8734 chars]"
BBC News,Adam Millington,Foden not guaranteed World Cup squad spot - Tuchel,"Manchester City midfielder Phil Foden's is not guaranteed a place in England's squad for the 2026 World Cup, says manager Thomas Tuchel.",https://www.bbc.com/sport/football/articles/cp86d7j2g7vo,2026-04-01T19:06:06Z,"England manager Thomas Tuchel has said Phil Foden does not have a guaranteed place in his World Cup squad.
The 25-year-old Manchester City midfielder was the only player to start both games in Engla… [+1195 chars]"
